rgn_id,value
1804,0.619839140529518
1805,0.619839140529518
1811,0.619839140529518
1812,0.619839140529518
1813,0.619839140529518
1815,0.619839140529518
1816,0.619839140529518
1818,0.619839140529518
1820,0.619839140529518
1822,0.619839140529518
1824,0.619839140529518
1827,0.619839140529518
1828,0.619839140529518
1832,0.619839140529518
1833,0.619839140529518
1834,0.619839140529518
1835,0.619839140529518
1836,0.619839140529518
1837,0.619839140529518
1838,0.619839140529518
1840,0.619839140529518
1841,0.619839140529518
1845,0.619839140529518
1848,0.619839140529518
1849,0.619839140529518
1850,0.619839140529518
1851,0.619839140529518
1852,0.619839140529518
1853,0.619839140529518
1854,0.619839140529518
1856,0.619839140529518
1857,0.619839140529518
1859,0.619839140529518
1860,0.619839140529518
1865,0.619839140529518
1866,0.619839140529518
1867,0.619839140529518
1868,0.619839140529518
1870,0.619839140529518
1871,0.619839140529518
1874,0.619839140529518
1902,0.619839140529518
1903,0.619839140529518
1911,0.619839140529518
1913,0.619839140529518
1917,0.619839140529518
1919,0.619839140529518
1920,0.619839140529518
1923,0.619839140529518
1924,0.619839140529518
1925,0.619839140529518
1926,0.619839140529518
1927,0.619839140529518
1928,0.619839140529518
1929,0.619839140529518
1931,0.619839140529518
1933,0.619839140529518
1936,0.619839140529518
1938,0.619839140529518
1939,0.619839140529518
1940,0.619839140529518
1941,0.619839140529518
1942,0.619839140529518
1943,0.619839140529518
2002,0.619839140529518
2003,0.619839140529518
2004,0.619839140529518
2012,0.619839140529518
2014,0.619839140529518
2015,0.619839140529518
2017,0.619839140529518
2018,0.619839140529518
2019,0.619839140529518
2020,0.619839140529518
2022,0.619839140529518
2023,0.619839140529518
2024,0.619839140529518
2025,0.619839140529518
2027,0.619839140529518
2028,0.619839140529518
2030,0.619839140529518
