rgn_id,year,taxa_code,sust_coeff
1824,2012,Scallops nei_1064,0.833333333
1827,2012,Arctic char_1052,0.533333333
1827,2012,Atlantic cod_1053,0.17
1827,2012,Atlantic halibut_1054,0.533333333
1827,2012,Atlantic salmon_1055,0.23
1827,2012,Blue mussel_1056,0.93
1827,2012,Chars nei_1057,0.444010417
1827,2012,European flat oyster_1058,0.83
1827,2012,Finfishes nei_1059,0.444010417
1827,2012,Great Atlantic scallop_1060,0.811764706
1827,2012,Marine crustaceans nei_1061,0.3
1827,2012,Pacific cupped oyster_1062,0.73
1827,2012,Rainbow trout_1063,0.566666667
1827,2012,Scallops nei_1064,0.833333333
1828,2012,Arctic char_1052,0.533333333
1828,2012,Atlantic cod_1053,0.17
1828,2012,Atlantic halibut_1054,0.533333333
1828,2012,Atlantic salmon_1055,0.23
1828,2012,Blue mussel_1056,0.93
1828,2012,Chars nei_1057,0.444010417
1828,2012,European flat oyster_1058,0.83
1828,2012,Finfishes nei_1059,0.444010417
1828,2012,Great Atlantic scallop_1060,0.811764706
1828,2012,Marine crustaceans nei_1061,0.3
1828,2012,Pacific cupped oyster_1062,0.73
1828,2012,Rainbow trout_1063,0.566666667
1828,2012,Scallops nei_1064,0.833333333
1832,2012,Arctic char_1052,0.533333333
1832,2012,Atlantic cod_1053,0.17
1832,2012,Atlantic halibut_1054,0.533333333
1832,2012,Atlantic salmon_1055,0.23
1832,2012,Blue mussel_1056,0.93
1832,2012,Chars nei_1057,0.444010417
1832,2012,European flat oyster_1058,0.83
1832,2012,Finfishes nei_1059,0.444010417
1832,2012,Great Atlantic scallop_1060,0.811764706
1832,2012,Marine crustaceans nei_1061,0.3
1832,2012,Pacific cupped oyster_1062,0.73
1832,2012,Rainbow trout_1063,0.566666667
1832,2012,Scallops nei_1064,0.833333333
1833,2012,Arctic char_1052,0.533333333
1833,2012,Atlantic cod_1053,0.17
1833,2012,Atlantic halibut_1054,0.533333333
1833,2012,Atlantic salmon_1055,0.23
1833,2012,Blue mussel_1056,0.93
