rgn_id,year,pressure_score
1804,2012,0.197644593588601
1804,2013,0.197660243595227
1804,2014,0.197657109265206
1804,2015,0.197665483113404
1804,2016,0.197671413328671
1805,2012,0.197644593588601
1805,2013,0.197660243595227
1805,2014,0.197657109265206
1805,2015,0.197665483113404
1805,2016,0.197671413328671
1811,2012,0.197644593588601
1811,2013,0.197660243595227
1811,2014,0.197657109265206
1811,2015,0.197665483113404
1811,2016,0.197671413328671
1812,2012,0.197644593588601
1812,2013,0.197660243595227
1812,2014,0.197657109265206
1812,2015,0.197665483113404
1812,2016,0.197671413328671
1813,2012,0.197644593588601
1813,2013,0.197660243595227
1813,2014,0.197657109265206
1813,2015,0.197665483113404
1813,2016,0.197671413328671
1815,2012,0.197644593588601
1815,2013,0.197660243595227
1815,2014,0.197657109265206
1815,2015,0.197665483113404
1815,2016,0.197671413328671
1816,2012,0.197644593588601
1816,2013,0.197660243595227
1816,2014,0.197657109265206
1816,2015,0.197665483113404
1816,2016,0.197671413328671
1818,2012,0.197644593588601
1818,2013,0.197660243595227
1818,2014,0.197657109265206
1818,2015,0.197665483113404
1818,2016,0.197671413328671
1820,2012,0.197644593588601
1820,2013,0.197660243595227
1820,2014,0.197657109265206
1820,2015,0.197665483113404
1820,2016,0.197671413328671
1822,2012,0.197644593588601
1822,2013,0.197660243595227
1822,2014,0.197657109265206
1822,2015,0.197665483113404
1822,2016,0.197671413328671
1824,2012,0.197644593588601
1824,2013,0.197660243595227
1824,2014,0.197657109265206
1824,2015,0.197665483113404
1824,2016,0.197671413328671
1827,2012,0.197644593588601
1827,2013,0.197660243595227
1827,2014,0.197657109265206
1827,2015,0.197665483113404
1827,2016,0.197671413328671
1828,2012,0.197644593588601
1828,2013,0.197660243595227
1828,2014,0.197657109265206
1828,2015,0.197665483113404
1828,2016,0.197671413328671
1832,2012,0.197644593588601
1832,2013,0.197660243595227
1832,2014,0.197657109265206
1832,2015,0.197665483113404
1832,2016,0.197671413328671
1833,2012,0.197644593588601
1833,2013,0.197660243595227
1833,2014,0.197657109265206
1833,2015,0.197665483113404
1833,2016,0.197671413328671
1834,2012,0.197644593588601
1834,2013,0.197660243595227
