rgn_id,resilience.score
1804,0.777777777777667
1805,0.777777777777667
1811,0.777777777777667
1812,0.777777777777667
1813,0.777777777777667
1815,0.777777777777667
1816,0.777777777777667
1818,0.777777777777667
1820,0.777777777777667
1822,0.777777777777667
1824,0.777777777777667
1827,0.777777777777667
1828,0.777777777777667
1832,0.777777777777667
1833,0.777777777777667
1834,0.777777777777667
1835,0.777777777777667
1836,0.777777777777667
1837,0.777777777777667
1838,0.777777777777667
1840,0.777777777777667
1841,0.777777777777667
1845,0.777777777777667
1848,0.777777777777667
1849,0.777777777777667
1850,0.777777777777667
1851,0.777777777777667
1852,0.777777777777667
1853,0.777777777777667
1854,0.777777777777667
1856,0.777777777777667
1857,0.777777777777667
1859,0.777777777777667
1860,0.777777777777667
1865,0.777777777777667
1866,0.777777777777667
1867,0.777777777777667
1868,0.777777777777667
1870,0.777777777777667
1871,0.777777777777667
1874,0.777777777777667
1902,0.777777777777667
1903,0.777777777777667
1911,0.777777777777667
1913,0.777777777777667
1917,0.777777777777667
1919,0.777777777777667
1920,0.777777777777667
1923,0.777777777777667
1924,0.777777777777667
1925,0.777777777777667
1926,0.777777777777667
1927,0.777777777777667
1928,0.777777777777667
1929,0.777777777777667
1931,0.777777777777667
1933,0.777777777777667
1936,0.777777777777667
1938,0.777777777777667
1939,0.777777777777667
1940,0.777777777777667
1941,0.777777777777667
1942,0.777777777777667
1943,0.777777777777667
2002,0.777777777777667
2003,0.777777777777667
2004,0.777777777777667
2012,0.777777777777667
2014,0.777777777777667
2015,0.777777777777667
2017,0.777777777777667
2018,0.777777777777667
2019,0.777777777777667
2020,0.777777777777667
2022,0.777777777777667
2023,0.777777777777667
2024,0.777777777777667
2025,0.777777777777667
2027,0.777777777777667
2028,0.777777777777667
2030,0.777777777777667
