rgn_id,year,resilience.score
1804,2000,0.140996267852169
1804,2001,0.140997244828644
1804,2002,0.148058830787772
1804,2003,0.156414910575878
1804,2004,0.157028940290227
1804,2005,0.16175604096306
1804,2006,0.161791700604387
1804,2007,0.161791700604387
1804,2008,0.161796096998523
1804,2009,0.162833157526417
1804,2010,0.162989473762369
1804,2011,0.162989473762369
1804,2012,0.164000644413683
1804,2013,0.164750473858015
1804,2014,0.164754381763913
1804,2015,0.164755358740388
1804,2016,0.166311682264585
1804,2017,0.166311682264585
1804,2018,0.166311682264585
1805,2000,0.140996267852169
1805,2001,0.140997244828644
1805,2002,0.148058830787772
1805,2003,0.156414910575878
1805,2004,0.157028940290227
1805,2005,0.16175604096306
1805,2006,0.161791700604387
1805,2007,0.161791700604387
1805,2008,0.161796096998523
1805,2009,0.162833157526417
1805,2010,0.162989473762369
1805,2011,0.162989473762369
1805,2012,0.164000644413683
1805,2013,0.164750473858015
1805,2014,0.164754381763913
1805,2015,0.164755358740388
1805,2016,0.166311682264585
1805,2017,0.166311682264585
1805,2018,0.166311682264585
1811,2000,0.140996267852169
1811,2001,0.140997244828644
1811,2002,0.148058830787772
1811,2003,0.156414910575878
1811,2004,0.157028940290227
1811,2005,0.16175604096306
1811,2006,0.161791700604387
1811,2007,0.161791700604387
1811,2008,0.161796096998523
1811,2009,0.162833157526417
1811,2010,0.162989473762369
1811,2011,0.162989473762369
1811,2012,0.164000644413683
1811,2013,0.164750473858015
1811,2014,0.164754381763913
1811,2015,0.164755358740388
1811,2016,0.166311682264585
1811,2017,0.166311682264585
1811,2018,0.166311682264585
1812,2000,0.140996267852169
1812,2001,0.140997244828644
1812,2002,0.148058830787772
1812,2003,0.156414910575878
1812,2004,0.157028940290227
1812,2005,0.16175604096306
1812,2006,0.161791700604387
1812,2007,0.161791700604387
1812,2008,0.161796096998523
1812,2009,0.162833157526417
1812,2010,0.162989473762369
1812,2011,0.162989473762369
1812,2012,0.164000644413683
1812,2013,0.164750473858015
1812,2014,0.164754381763913
1812,2015,0.164755358740388
1812,2016,0.166311682264585
1812,2017,0.166311682264585
1812,2018,0.166311682264585
1813,2000,0.140996267852169
1813,2001,0.140997244828644
1813,2002,0.148058830787772
1813,2003,0.156414910575878
1813,2004,0.157028940290227
1813,2005,0.16175604096306
1813,2006,0.161791700604387
1813,2007,0.161791700604387
1813,2008,0.161796096998523
1813,2009,0.162833157526417
1813,2010,0.162989473762369
1813,2011,0.162989473762369
1813,2012,0.164000644413683
1813,2013,0.164750473858015
1813,2014,0.164754381763913
1813,2015,0.164755358740388
1813,2016,0.166311682264585
1813,2017,0.166311682264585
1813,2018,0.166311682264585
1815,2000,0.140996267852169
1815,2001,0.140997244828644
1815,2002,0.148058830787772
1815,2003,0.156414910575878
1815,2004,0.157028940290227
1815,2005,0.16175604096306
1815,2006,0.161791700604387
1815,2007,0.161791700604387
1815,2008,0.161796096998523
1815,2009,0.162833157526417
1815,2010,0.162989473762369
1815,2011,0.162989473762369
1815,2012,0.164000644413683
1815,2013,0.164750473858015
1815,2014,0.164754381763913
1815,2015,0.164755358740388
1815,2016,0.166311682264585
1815,2017,0.166311682264585
1815,2018,0.166311682264585
1816,2000,0.140996267852169
1816,2001,0.140997244828644
1816,2002,0.148058830787772
1816,2003,0.156414910575878
1816,2004,0.157028940290227
1816,2005,0.16175604096306
1816,2006,0.161791700604387
1816,2007,0.161791700604387
1816,2008,0.161796096998523
1816,2009,0.162833157526417
1816,2010,0.162989473762369
1816,2011,0.162989473762369
1816,2012,0.164000644413683
1816,2013,0.164750473858015
1816,2014,0.164754381763913
1816,2015,0.164755358740388
1816,2016,0.166311682264585
1816,2017,0.166311682264585
1816,2018,0.166311682264585
1818,2000,0.140996267852169
1818,2001,0.140997244828644
1818,2002,0.148058830787772
1818,2003,0.156414910575878
1818,2004,0.157028940290227
1818,2005,0.16175604096306
1818,2006,0.161791700604387
1818,2007,0.161791700604387
1818,2008,0.161796096998523
1818,2009,0.162833157526417
1818,2010,0.162989473762369
1818,2011,0.162989473762369
1818,2012,0.164000644413683
1818,2013,0.164750473858015
1818,2014,0.164754381763913
1818,2015,0.164755358740388
1818,2016,0.166311682264585
1818,2017,0.166311682264585
1818,2018,0.166311682264585
1820,2000,0.140996267852169
1820,2001,0.140997244828644
1820,2002,0.148058830787772
1820,2003,0.156414910575878
1820,2004,0.157028940290227
