rgn_id,year,pressure_score
1804,2003,0.0752468711969242
1804,2004,0.0726847258820336
1804,2005,0.0645916046983257
1804,2006,0.026029645165344
1804,2007,0.0199861072668766
1804,2008,0.0195578189892047
1804,2009,0.0193270426726218
1804,2010,0.0258398470634992
1804,2011,0.0269225554974794
1804,2012,0.0331433408275055
1804,2013,0.0288658243842376
1804,2014,0.0264552824103172
1804,2015,0.0354271653799576
1805,2003,0.0752468711969242
1805,2004,0.0726847258820336
1805,2005,0.0645916046983257
1805,2006,0.026029645165344
1805,2007,0.0199861072668766
1805,2008,0.0195578189892047
1805,2009,0.0193270426726218
1805,2010,0.0258398470634992
1805,2011,0.0269225554974794
1805,2012,0.0331433408275055
1805,2013,0.0288658243842376
1805,2014,0.0264552824103172
1805,2015,0.0354271653799576
1811,2003,0.0752468711969242
1811,2004,0.0726847258820336
1811,2005,0.0645916046983257
1811,2006,0.026029645165344
1811,2007,0.0199861072668766
1811,2008,0.0195578189892047
1811,2009,0.0193270426726218
1811,2010,0.0258398470634992
1811,2011,0.0269225554974794
1811,2012,0.0331433408275055
1811,2013,0.0288658243842376
1811,2014,0.0264552824103172
1811,2015,0.0354271653799576
1812,2003,0.0752468711969242
1812,2004,0.0726847258820336
1812,2005,0.0645916046983257
1812,2006,0.026029645165344
1812,2007,0.0199861072668766
1812,2008,0.0195578189892047
1812,2009,0.0193270426726218
1812,2010,0.0258398470634992
1812,2011,0.0269225554974794
1812,2012,0.0331433408275055
1812,2013,0.0288658243842376
1812,2014,0.0264552824103172
1812,2015,0.0354271653799576
1813,2003,0.0752468711969242
1813,2004,0.0726847258820336
1813,2005,0.0645916046983257
1813,2006,0.026029645165344
1813,2007,0.0199861072668766
1813,2008,0.0195578189892047
1813,2009,0.0193270426726218
1813,2010,0.0258398470634992
1813,2011,0.0269225554974794
1813,2012,0.0331433408275055
1813,2013,0.0288658243842376
1813,2014,0.0264552824103172
1813,2015,0.0354271653799576
1815,2003,0.0752468711969242
1815,2004,0.0726847258820336
1815,2005,0.0645916046983257
1815,2006,0.026029645165344
1815,2007,0.0199861072668766
1815,2008,0.0195578189892047
1815,2009,0.0193270426726218
1815,2010,0.0258398470634992
1815,2011,0.0269225554974794
1815,2012,0.0331433408275055
1815,2013,0.0288658243842376
1815,2014,0.0264552824103172
1815,2015,0.0354271653799576
1816,2003,0.0752468711969242
1816,2004,0.0726847258820336
1816,2005,0.0645916046983257
1816,2006,0.026029645165344
1816,2007,0.0199861072668766
1816,2008,0.0195578189892047
1816,2009,0.0193270426726218
1816,2010,0.0258398470634992
1816,2011,0.0269225554974794
1816,2012,0.0331433408275055
1816,2013,0.0288658243842376
1816,2014,0.0264552824103172
1816,2015,0.0354271653799576
1818,2003,0.0752468711969242
1818,2004,0.0726847258820336
1818,2005,0.0645916046983257
1818,2006,0.026029645165344
1818,2007,0.0199861072668766
1818,2008,0.0195578189892047
1818,2009,0.0193270426726218
1818,2010,0.0258398470634992
1818,2011,0.0269225554974794
1818,2012,0.0331433408275055
1818,2013,0.0288658243842376
1818,2014,0.0264552824103172
1818,2015,0.0354271653799576
1820,2003,0.0752468711969242
1820,2004,0.0726847258820336
1820,2005,0.0645916046983257
1820,2006,0.026029645165344
1820,2007,0.0199861072668766
1820,2008,0.0195578189892047
1820,2009,0.0193270426726218
1820,2010,0.0258398470634992
1820,2011,0.0269225554974794
1820,2012,0.0331433408275055
1820,2013,0.0288658243842376
1820,2014,0.0264552824103172
1820,2015,0.0354271653799576
1822,2003,0.0752468711969242
1822,2004,0.0726847258820336
1822,2005,0.0645916046983257
1822,2006,0.026029645165344
1822,2007,0.0199861072668766
1822,2008,0.0195578189892047
1822,2009,0.0193270426726218
1822,2010,0.0258398470634992
1822,2011,0.0269225554974794
1822,2012,0.0331433408275055
1822,2013,0.0288658243842376
1822,2014,0.0264552824103172
1822,2015,0.0354271653799576
1824,2003,0.0752468711969242
1824,2004,0.0726847258820336
1824,2005,0.0645916046983257
1824,2006,0.026029645165344
1824,2007,0.0199861072668766
1824,2008,0.0195578189892047
1824,2009,0.0193270426726218
1824,2010,0.0258398470634992
1824,2011,0.0269225554974794
1824,2012,0.0331433408275055
1824,2013,0.0288658243842376
1824,2014,0.0264552824103172
1824,2015,0.0354271653799576
1827,2003,0.0752468711969242
1827,2004,0.0726847258820336
1827,2005,0.0645916046983257
1827,2006,0.026029645165344
1827,2007,0.0199861072668766
1827,2008,0.0195578189892047
1827,2009,0.0193270426726218
1827,2010,0.0258398470634992
1827,2011,0.0269225554974794
1827,2012,0.0331433408275055
1827,2013,0.0288658243842376
1827,2014,0.0264552824103172
1827,2015,0.0354271653799576
1828,2003,0.0752468711969242
1828,2004,0.0726847258820336
1828,2005,0.0645916046983257
1828,2006,0.026029645165344
1828,2007,0.0199861072668766
1828,2008,0.0195578189892047
1828,2009,0.0193270426726218
1828,2010,0.0258398470634992
1828,2011,0.0269225554974794
1828,2012,0.0331433408275055
1828,2013,0.0288658243842376
1828,2014,0.0264552824103172
1828,2015,0.0354271653799576
1832,2003,0.0752468711969242
1832,2004,0.0726847258820336
1832,2005,0.0645916046983257
1832,2006,0.026029645165344
1832,2007,0.0199861072668766
1832,2008,0.0195578189892047
1832,2009,0.0193270426726218
1832,2010,0.0258398470634992
1832,2011,0.0269225554974794
1832,2012,0.0331433408275055
1832,2013,0.0288658243842376
1832,2014,0.0264552824103172
1832,2015,0.0354271653799576
1833,2003,0.0752468711969242
1833,2004,0.0726847258820336
1833,2005,0.0645916046983257
1833,2006,0.026029645165344
