rgn_id,year,popsum
1820,2000,4682473.5023719
1820,2001,4714355.54731321
1820,2002,4746237.59225451
1820,2003,4778119.63719582
1820,2004,4810001.68213713
1820,2005,4841883.72707843
1820,2006,4902088.51601531
1820,2007,4962293.3049522
1820,2008,5022498.09388908
1820,2009,5082702.88282596
1820,2010,5142907.67176284
1820,2011,5214612.89719068
1820,2012,5286318.12261851
1820,2013,5358023.34804634
1820,2014,5429728.57347418
1820,2015,5501433.79890201
1820,2016,5565675.57572275
1820,2017,5629917.35254349
1820,2018,5694159.12936424
1820,2019,5758400.90618498
1820,2020,5822642.68300572
1822,2000,4682473.5023719
1822,2001,4714355.54731321
1822,2002,4746237.59225451
1822,2003,4778119.63719582
1822,2004,4810001.68213713
1822,2005,4841883.72707843
1822,2006,4902088.51601531
1822,2007,4962293.3049522
1822,2008,5022498.09388908
1822,2009,5082702.88282596
1822,2010,5142907.67176284
1822,2011,5214612.89719068
1822,2012,5286318.12261851
1822,2013,5358023.34804634
1822,2014,5429728.57347418
1822,2015,5501433.79890201
1822,2016,5565675.57572275
1822,2017,5629917.35254349
1822,2018,5694159.12936424
1822,2019,5758400.90618498
1822,2020,5822642.68300572
1824,2000,4682473.5023719
1824,2001,4714355.54731321
1824,2002,4746237.59225451
1824,2003,4778119.63719582
1824,2004,4810001.68213713
1824,2005,4841883.72707843
1824,2006,4902088.51601531
1824,2007,4962293.3049522
1824,2008,5022498.09388908
1824,2009,5082702.88282596
1824,2010,5142907.67176284
1824,2011,5214612.89719068
1824,2012,5286318.12261851
1824,2013,5358023.34804634
1824,2014,5429728.57347418
1824,2015,5501433.79890201
1824,2016,5565675.57572275
1824,2017,5629917.35254349
1824,2018,5694159.12936424
1824,2019,5758400.90618498
1824,2020,5822642.68300572
1827,2000,4682473.5023719
1827,2001,4714355.54731321
1827,2002,4746237.59225451
1827,2003,4778119.63719582
1827,2004,4810001.68213713
1827,2005,4841883.72707843
1827,2006,4902088.51601531
1827,2007,4962293.3049522
1827,2008,5022498.09388908
1827,2009,5082702.88282596
1827,2010,5142907.67176284
1827,2011,5214612.89719068
1827,2012,5286318.12261851
1827,2013,5358023.34804634
1827,2014,5429728.57347418
1827,2015,5501433.79890201
1827,2016,5565675.57572275
1827,2017,5629917.35254349
1827,2018,5694159.12936424
1827,2019,5758400.90618498
1827,2020,5822642.68300572
1828,2000,4682473.5023719
1828,2001,4714355.54731321
1828,2002,4746237.59225451
1828,2003,4778119.63719582
1828,2004,4810001.68213713
1828,2005,4841883.72707843
1828,2006,4902088.51601531
1828,2007,4962293.3049522
1828,2008,5022498.09388908
1828,2009,5082702.88282596
1828,2010,5142907.67176284
1828,2011,5214612.89719068
1828,2012,5286318.12261851
1828,2013,5358023.34804634
1828,2014,5429728.57347418
1828,2015,5501433.79890201
1828,2016,5565675.57572275
1828,2017,5629917.35254349
1828,2018,5694159.12936424
1828,2019,5758400.90618498
1828,2020,5822642.68300572
1832,2000,4682473.5023719
1832,2001,4714355.54731321
