rgn_id,year,w_fis
1804,2005,0.834012993538083
1804,2006,0.847079264616543
1804,2007,0.841101774785954
1804,2008,0.823496057313619
1804,2009,0.801858531364454
1804,2010,0.792306824533525
1804,2011,0.753948780967291
1804,2012,0.782599126450226
1804,2013,0.763758278210251
1804,2014,0.755798003897495
1804,2015,0.787305746268538
1805,2005,0.834012993538083
1805,2006,0.847079264616543
1805,2007,0.841101774785954
1805,2008,0.823496057313619
1805,2009,0.801858531364454
1805,2010,0.792306824533525
1805,2011,0.753948780967291
1805,2012,0.782599126450226
1805,2013,0.763758278210251
1805,2014,0.755798003897495
1805,2015,0.787305746268538
1811,2005,0.834012993538083
1811,2006,0.847079264616543
1811,2007,0.841101774785954
1811,2008,0.823496057313619
1811,2009,0.801858531364454
1811,2010,0.792306824533525
1811,2011,0.753948780967291
1811,2012,0.782599126450226
1811,2013,0.763758278210251
1811,2014,0.755798003897495
1811,2015,0.787305746268538
1812,2005,0.834012993538083
1812,2006,0.847079264616543
1812,2007,0.841101774785954
1812,2008,0.823496057313619
1812,2009,0.801858531364454
1812,2010,0.792306824533525
1812,2011,0.753948780967291
1812,2012,0.782599126450226
1812,2013,0.763758278210251
1812,2014,0.755798003897495
1812,2015,0.787305746268538
1813,2005,0.834012993538083
1813,2006,0.847079264616543
1813,2007,0.841101774785954
1813,2008,0.823496057313619
1813,2009,0.801858531364454
1813,2010,0.792306824533525
1813,2011,0.753948780967291
1813,2012,0.782599126450226
1813,2013,0.763758278210251
1813,2014,0.755798003897495
1813,2015,0.787305746268538
1815,2005,0.834012993538083
1815,2006,0.847079264616543
1815,2007,0.841101774785954
1815,2008,0.823496057313619
1815,2009,0.801858531364454
1815,2010,0.792306824533525
1815,2011,0.753948780967291
1815,2012,0.782599126450226
1815,2013,0.763758278210251
1815,2014,0.755798003897495
1815,2015,0.787305746268538
1816,2005,0.834012993538083
1816,2006,0.847079264616543
1816,2007,0.841101774785954
1816,2008,0.823496057313619
1816,2009,0.801858531364454
1816,2010,0.792306824533525
1816,2011,0.753948780967291
1816,2012,0.782599126450226
1816,2013,0.763758278210251
1816,2014,0.755798003897495
1816,2015,0.787305746268538
1818,2005,0.834012993538083
1818,2006,0.847079264616543
1818,2007,0.841101774785954
1818,2008,0.823496057313619
1818,2009,0.801858531364454
1818,2010,0.792306824533525
1818,2011,0.753948780967291
1818,2012,0.782599126450226
1818,2013,0.763758278210251
1818,2014,0.755798003897495
1818,2015,0.787305746268538
1820,2005,0.834012993538083
1820,2006,0.847079264616543
1820,2007,0.841101774785954
1820,2008,0.823496057313619
1820,2009,0.801858531364454
1820,2010,0.792306824533525
1820,2011,0.753948780967291
1820,2012,0.782599126450226
1820,2013,0.763758278210251
1820,2014,0.755798003897495
1820,2015,0.787305746268538
1822,2005,0.834012993538083
1822,2006,0.847079264616543
1822,2007,0.841101774785954
1822,2008,0.823496057313619
1822,2009,0.801858531364454
1822,2010,0.792306824533525
1822,2011,0.753948780967291
1822,2012,0.782599126450226
1822,2013,0.763758278210251
1822,2014,0.755798003897495
1822,2015,0.787305746268538
1824,2005,0.834012993538083
1824,2006,0.847079264616543
1824,2007,0.841101774785954
1824,2008,0.823496057313619
1824,2009,0.801858531364454
1824,2010,0.792306824533525
1824,2011,0.753948780967291
1824,2012,0.782599126450226
1824,2013,0.763758278210251
1824,2014,0.755798003897495
1824,2015,0.787305746268538
1827,2005,0.834012993538083
1827,2006,0.847079264616543
1827,2007,0.841101774785954
1827,2008,0.823496057313619
1827,2009,0.801858531364454
1827,2010,0.792306824533525
1827,2011,0.753948780967291
1827,2012,0.782599126450226
1827,2013,0.763758278210251
1827,2014,0.755798003897495
1827,2015,0.787305746268538
1828,2005,0.834012993538083
1828,2006,0.847079264616543
1828,2007,0.841101774785954
1828,2008,0.823496057313619
1828,2009,0.801858531364454
1828,2010,0.792306824533525
1828,2011,0.753948780967291
1828,2012,0.782599126450226
1828,2013,0.763758278210251
1828,2014,0.755798003897495
1828,2015,0.787305746268538
1832,2005,0.834012993538083
1832,2006,0.847079264616543
1832,2007,0.841101774785954
1832,2008,0.823496057313619
1832,2009,0.801858531364454
1832,2010,0.792306824533525
1832,2011,0.753948780967291
1832,2012,0.782599126450226
1832,2013,0.763758278210251
1832,2014,0.755798003897495
1832,2015,0.787305746268538
1833,2005,0.834012993538083
1833,2006,0.847079264616543
1833,2007,0.841101774785954
1833,2008,0.823496057313619
1833,2009,0.801858531364454
1833,2010,0.792306824533525
1833,2011,0.753948780967291
1833,2012,0.782599126450226
1833,2013,0.763758278210251
1833,2014,0.755798003897495
1833,2015,0.787305746268538
1834,2005,0.834012993538083
1834,2006,0.847079264616543
1834,2007,0.841101774785954
1834,2008,0.823496057313619
1834,2009,0.801858531364454
1834,2010,0.792306824533525
1834,2011,0.753948780967291
1834,2012,0.782599126450226
1834,2013,0.763758278210251
1834,2014,0.755798003897495
1834,2015,0.787305746268538
1835,2005,0.834012993538083
1835,2006,0.847079264616543
1835,2007,0.841101774785954
1835,2008,0.823496057313619
1835,2009,0.801858531364454
1835,2010,0.792306824533525
1835,2011,0.753948780967291
1835,2012,0.782599126450226
1835,2013,0.763758278210251
1835,2014,0.755798003897495
1835,2015,0.787305746268538
1836,2005,0.834012993538083
1836,2006,0.847079264616543
1836,2007,0.841101774785954
1836,2008,0.823496057313619
1836,2009,0.801858531364454
1836,2010,0.792306824533525
1836,2011,0.753948780967291
1836,2012,0.782599126450226
1836,2013,0.763758278210251
1836,2014,0.755798003897495
1836,2015,0.787305746268538
1837,2005,0.834012993538083
