rgn_id,value
1804,0.590681978731453
1805,0.590681978731453
1811,0.590681978731453
1812,0.590681978731453
1813,0.590681978731453
1815,0.590681978731453
1816,0.590681978731453
1818,0.590681978731453
1820,0.590681978731453
1822,0.590681978731453
1824,0.590681978731453
1827,0.590681978731453
1828,0.590681978731453
1832,0.590681978731453
1833,0.590681978731453
1834,0.590681978731453
1835,0.590681978731453
1836,0.590681978731453
1837,0.590681978731453
1838,0.590681978731453
1840,0.590681978731453
1841,0.590681978731453
1845,0.590681978731453
1848,0.590681978731453
1849,0.590681978731453
1850,0.590681978731453
1851,0.590681978731453
1852,0.590681978731453
1853,0.590681978731453
1854,0.590681978731453
1856,0.590681978731453
1857,0.590681978731453
1859,0.590681978731453
1860,0.590681978731453
1865,0.590681978731453
1866,0.590681978731453
1867,0.590681978731453
1868,0.590681978731453
1870,0.590681978731453
1871,0.590681978731453
1874,0.590681978731453
1902,0.590681978731453
1903,0.590681978731453
1911,0.590681978731453
1913,0.590681978731453
1917,0.590681978731453
1919,0.590681978731453
1920,0.590681978731453
1923,0.590681978731453
1924,0.590681978731453
1925,0.590681978731453
1926,0.590681978731453
1927,0.590681978731453
1928,0.590681978731453
1929,0.590681978731453
1931,0.590681978731453
1933,0.590681978731453
1936,0.590681978731453
1938,0.590681978731453
1939,0.590681978731453
1940,0.590681978731453
1941,0.590681978731453
1942,0.590681978731453
1943,0.590681978731453
2002,0.590681978731453
2003,0.590681978731453
2004,0.590681978731453
2012,0.590681978731453
2014,0.590681978731453
2015,0.590681978731453
2017,0.590681978731453
2018,0.590681978731453
2019,0.590681978731453
2020,0.590681978731453
2022,0.590681978731453
2023,0.590681978731453
2024,0.590681978731453
2025,0.590681978731453
2027,0.590681978731453
2028,0.590681978731453
2030,0.590681978731453
