rgn_id,resilience.score
1804,0.513515657985
1805,0.513515657985
1811,0.513515657985
1812,0.513515657985
1813,0.513515657985
1815,0.513515657985
1816,0.513515657985
1818,0.513515657985
1820,0.513515657985
1822,0.513515657985
1824,0.513515657985
1827,0.513515657985
1828,0.513515657985
1832,0.513515657985
1833,0.513515657985
1834,0.513515657985
1835,0.513515657985
1836,0.513515657985
1837,0.513515657985
1838,0.513515657985
1840,0.513515657985
1841,0.513515657985
1845,0.513515657985
1848,0.513515657985
1849,0.513515657985
1850,0.513515657985
1851,0.513515657985
1852,0.513515657985
1853,0.513515657985
1854,0.513515657985
1856,0.513515657985
1857,0.513515657985
1859,0.513515657985
1860,0.513515657985
1865,0.513515657985
1866,0.513515657985
1867,0.513515657985
1868,0.513515657985
1870,0.513515657985
1871,0.513515657985
1874,0.513515657985
1902,0.513515657985
1903,0.513515657985
1911,0.513515657985
1913,0.513515657985
1917,0.513515657985
1919,0.513515657985
1920,0.513515657985
1923,0.513515657985
1924,0.513515657985
1925,0.513515657985
1926,0.513515657985
1927,0.513515657985
1928,0.513515657985
1929,0.513515657985
1931,0.513515657985
1933,0.513515657985
1936,0.513515657985
1938,0.513515657985
1939,0.513515657985
1940,0.513515657985
1941,0.513515657985
1942,0.513515657985
1943,0.513515657985
2002,0.513515657985
2003,0.513515657985
2004,0.513515657985
2012,0.513515657985
2014,0.513515657985
2015,0.513515657985
2017,0.513515657985
2018,0.513515657985
2019,0.513515657985
2020,0.513515657985
2022,0.513515657985
2023,0.513515657985
2024,0.513515657985
2025,0.513515657985
2027,0.513515657985
2028,0.513515657985
2030,0.513515657985
