rgn_id,year,trend
1936,2016,0.001
1938,2012,-2e-4
1938,2013,4e-4
1938,2014,3e-4
1938,2015,3e-4
1938,2016,0.001
1939,2012,-2e-4
1939,2013,4e-4
1939,2014,3e-4
1939,2015,3e-4
1939,2016,0.001
1940,2012,-2e-4
1940,2013,4e-4
1940,2014,3e-4
1940,2015,3e-4
1940,2016,0.001
1941,2012,-2e-4
1941,2013,4e-4
1941,2014,3e-4
1941,2015,3e-4
1941,2016,0.001
1942,2012,-2e-4
1942,2013,4e-4
1942,2014,3e-4
1942,2015,3e-4
1942,2016,0.001
1943,2012,-2e-4
1943,2013,4e-4
1943,2014,3e-4
1943,2015,3e-4
1943,2016,0.001
2002,2012,-2e-4
2002,2013,4e-4
2002,2014,3e-4
2002,2015,3e-4
2002,2016,0.001
2003,2012,-2e-4
2003,2013,4e-4
2003,2014,3e-4
2003,2015,3e-4
2003,2016,0.001
2004,2012,-2e-4
2004,2013,4e-4
2004,2014,3e-4
2004,2015,3e-4
2004,2016,0.001
2012,2012,-2e-4
2012,2013,4e-4
2012,2014,3e-4
2012,2015,3e-4
2012,2016,0.001
2014,2012,-2e-4
2014,2013,4e-4
2014,2014,3e-4
2014,2015,3e-4
2014,2016,0.001
2015,2012,-2e-4
2015,2013,4e-4
2015,2014,3e-4
2015,2015,3e-4
2015,2016,0.001
2017,2012,-2e-4
2017,2013,4e-4
2017,2014,3e-4
2017,2015,3e-4
2017,2016,0.001
2018,2012,-2e-4
2018,2013,4e-4
2018,2014,3e-4
2018,2015,3e-4
2018,2016,0.001
2019,2012,-2e-4
2019,2013,4e-4
2019,2014,3e-4
2019,2015,3e-4
2019,2016,0.001
2020,2012,-2e-4
2020,2013,4e-4
2020,2014,3e-4
2020,2015,3e-4
2020,2016,0.001
2022,2012,-2e-4
2022,2013,4e-4
2022,2014,3e-4
2022,2015,3e-4
2022,2016,0.001
2023,2012,-2e-4
2023,2013,4e-4
2023,2014,3e-4
2023,2015,3e-4
2023,2016,0.001
2024,2012,-2e-4
2024,2013,4e-4
2024,2014,3e-4
2024,2015,3e-4
2024,2016,0.001
2025,2012,-2e-4
2025,2013,4e-4
2025,2014,3e-4
2025,2015,3e-4
2025,2016,0.001
2027,2012,-2e-4
2027,2013,4e-4
2027,2014,3e-4
2027,2015,3e-4
2027,2016,0.001
2028,2012,-2e-4
2028,2013,4e-4
2028,2014,3e-4
2028,2015,3e-4
2028,2016,0.001
2030,2012,-2e-4
2030,2013,4e-4
2030,2014,3e-4
2030,2015,3e-4
2030,2016,0.001
