rgn_id,habitat,year,km2
1804,seaice_edge,2017,107057.291666667
1804,seaice_shoreline,2017,20991.9507575758
1805,seaice_edge,2017,107057.291666667
1805,seaice_shoreline,2017,20991.9507575758
1811,seaice_edge,2017,107057.291666667
1811,seaice_shoreline,2017,20991.9507575758
1812,seaice_edge,2017,107057.291666667
1812,seaice_shoreline,2017,20991.9507575758
1813,seaice_edge,2017,107057.291666667
1813,seaice_shoreline,2017,20991.9507575758
1815,seaice_edge,2017,107057.291666667
1815,seaice_shoreline,2017,20991.9507575758
1816,seaice_edge,2017,107057.291666667
1816,seaice_shoreline,2017,20991.9507575758
1818,seaice_edge,2017,107057.291666667
1818,seaice_shoreline,2017,20991.9507575758
1820,seaice_edge,2017,107057.291666667
1820,seaice_shoreline,2017,20991.9507575758
1822,seaice_edge,2017,107057.291666667
1822,seaice_shoreline,2017,20991.9507575758
1824,seaice_edge,2017,107057.291666667
1824,seaice_shoreline,2017,20991.9507575758
1827,seaice_edge,2017,107057.291666667
1827,seaice_shoreline,2017,20991.9507575758
1828,seaice_edge,2017,107057.291666667
1828,seaice_shoreline,2017,20991.9507575758
1832,seaice_edge,2017,107057.291666667
1832,seaice_shoreline,2017,20991.9507575758
1833,seaice_edge,2017,107057.291666667
1833,seaice_shoreline,2017,20991.9507575758
1834,seaice_edge,2017,107057.291666667
1834,seaice_shoreline,2017,20991.9507575758
1835,seaice_edge,2017,107057.291666667
1835,seaice_shoreline,2017,20991.9507575758
1836,seaice_edge,2017,107057.291666667
1836,seaice_shoreline,2017,20991.9507575758
1837,seaice_edge,2017,107057.291666667
1837,seaice_shoreline,2017,20991.9507575758
1838,seaice_edge,2017,107057.291666667
1838,seaice_shoreline,2017,20991.9507575758
1840,seaice_edge,2017,107057.291666667
1840,seaice_shoreline,2017,20991.9507575758
1841,seaice_edge,2017,107057.291666667
1841,seaice_shoreline,2017,20991.9507575758
1845,seaice_edge,2017,107057.291666667
1845,seaice_shoreline,2017,20991.9507575758
1848,seaice_edge,2017,107057.291666667
1848,seaice_shoreline,2017,20991.9507575758
1849,seaice_edge,2017,107057.291666667
1849,seaice_shoreline,2017,20991.9507575758
1850,seaice_edge,2017,107057.291666667
1850,seaice_shoreline,2017,20991.9507575758
